office_code,district,party,name_last,name_first,city,county,website,twitter,facebook,instagram,official_office_phone,confidence,notes
USR,010,DEM,Frost,Maxwell,Orlando,ORA,frostforcongress.com,@MaxwellFrostFL,facebook.com/MaxwellFrostFL,maxwellfrostfl,"DC (202) 225-2176; Orlando (321) 388-9808",high,"Incumbent US Rep. Campaign accounts differ from official @RepMaxwellFrost."
USR,015,DEM,Irizarry,Christopher,Hudson,PAS,chrisforchange.com,@chrisforfl15,facebook.com/chrisforchangefl15,chrisforchangefl15,,high,"Some site metadata still says CD-12 from prior run; body content is FL-15."
USR,015,REP,Lee,Laurel,Tampa,HIL,votelaurel.com,@vote_laurel,facebook.com/VoteLaurel,,"DC (202) 225-5626; Tampa (813) 393-5077",high,"Incumbent US Rep. No IG linked on site. lsifl.com is treasurer, not her site."
USR,015,DEM,People,Robert,Tampa,HIL,peopleforcongress.com,,facebook.com/profile.php?id=61573727416052,robertpeopleforcongressfl15,,high,"No X linked. Also TikTok/Threads @robertpeopleforcongress."
USR,023,REP,Adeimy,Deborah,West Palm Beach,PAL,debadeimy4congress.com,,facebook.com/DebAdeimyCongress,debadeimy,,medium,"Site metadata still carries stale CD-22 branding; FL-23 confirmed via election records."
USR,023,REP,Branda,Paola,Haverhill,PAL,paolabrandaforcongress.com,@paolabrandaFL,facebook.com/profile.php?id=61576654631256,paola_branda_for_congress,,high,"drpaolabrandaforcongress.com redirects here."
USR,023,DEM,Doyle,Victoria,Lake Worth Beach,PAL,doyleforcongress.org,,facebook.com/profile.php?id=61576697552074,votevictoriafl23,,high,"No X linked."
USR,023,DEM,Frankel,Lois,Delray Beach,PAL,loisfrankelforcongress.com,@loisfrankel,facebook.com/loisfrankel,,"DC (202) 225-9890; Delray Beach (561) 998-9045",high,"Incumbent US Rep. Campaign site is loisfrankelforcongress.com, not loisfrankel.com. Official gov IG @reploisfrankel."
USR,023,DEM,Piper,Mark,West Palm Beach,PAL,,,,,,low,"No campaign site or socials found. Confirmed only via FEC C00951905 and FL DoE acct 91277."
USR,028,DEM,Ehr,Phil,Miami,DAD,ehrforcongress.us,@PhilEhr,facebook.com/PhilEhrFlorida,phil.ehr,,high,"Running to replace Gimenez."
USR,028,REP,Gimenez,Carlos,Miami,DAD,carlosgimenezforcongress.com,@CarlosGimenezFL,facebook.com/CarlosGimenezforCongress,carlosgimenezfl26,"DC (202) 225-2778; Miami (305) 222-0160; Key West (305) 292-4485",high,"Incumbent US Rep. Official gov accounts differ (@RepCarlos)."
USR,028,NPA,Rojas,Eddy,Miami,DAD,eddyrojas.com,,,rojasforcongress,,medium,"Site confirmed official but links no socials; IG identified via search, self-describes as FL-28 campaign."
GOV,,NPA,Abrams,Dean,Sarasota,SAR,,,,,,low,"No official site or socials found. Only third-party listings."
GOV,,NPA,Burkett,Charles,Surfside,DAD,burkettforgov.com,,,,,medium,"Site verified (4-term Surfside mayor). No socials on site. burkettcompanies.com is his business."
GOV,,DEM,Castillo-Bach,Evelyn,Pembroke Pines,BRO,evelynforgovernor.org,,facebook.com/evelynforgovernor,evelynforgovernor,,high,"No X linked. Also LinkedIn, TikTok, Bluesky."
GOV,,REP,Collins,Jay,Tampa,HIL,jayforflorida.com,@JayCollinsFL,facebook.com/JayCollinsFL,JayCollinsFL,,high,"Current FL Lt. Governor. No dedicated Lt. Gov phone published (web form only)."
GOV,,NPA,Datto,Jeffrey,Hialeah,DAD,,,,,,low,"No confirmable site or specific handle found."
GOV,,NPA,Dimanche,Moliere,Orlando,ORA,nomoecorruption.com,@moedimanche,facebook.com/moedimanche,MoeDimanche,,high,"'Moe' Dimanche. All handles linked from site."
GOV,,REP,Donalds,Byron,Naples,CLL,byrondonalds.com,@byrondonalds,facebook.com/byrondonalds,byrondonalds,"DC (202) 225-2536; Naples (239) 252-6225; Lee (239) 599-6033",high,"Sitting US Rep FL-19. Gov press accounts @RepDonaldsPress differ."
GOV,,DEM,Fernandez,Thomas,Homestead,DAD,,,,novaforflorida,,low,"Campaign 'NOVA'. No website; IG likely his by account title; ActBlue page exists. Email hint unverified."
GOV,,REP,Fishback,James,Madison,MAD,fishback2026.com,@j_fishback,facebook.com/fshbck,fshbck,,high,"Several look-alike domains exist; official is fishback2026.com."
GOV,,DEM,Foster,Dayna,Ft Lauderdale,BRO,fosterforflorida.com,@foster4florida,facebook.com/people/Foster-For-Florida/61585295787182/,fosterforflorida,,high,"All handles linked in site footer. Also TikTok."
GOV,,REP,Holcomb,Jim,Astatula,LAK,jimholcomb4governor.com,,,,,medium,"Site verified. No socials on site."
GOV,,LPF,Jewett,Scott,Boca Raton,PAL,scottjewett.com,,,,,medium,"Libertarian gov site verified. No socials on homepage. Also lpf.org/scottjewett."
GOV,,DEM,Jolly,David,Indian Rocks Beach,PIN,davidjolly.com,@davidjollyfl,facebook.com/davidjollyflorida,davidjollyfl,,high,"Former US Rep, out of office. Running mate Gwen Graham. Also TikTok @david_jolly."
GOV,,DEM,Joseph,Dotie,Jacksonville,DAD,dotiejoseph.com,@dotieforflorida,,dotiejoseph,"Capitol (850) 717-5108; District (305) 564-5060",medium,"Sitting FL House Rep D-108. Campaign site is JS-only; socials confirmed via search not site."
GOV,,REP,McCaffrey,Arthur,Venice,SAR,,,,,,low,"No site or socials. Only third-party listings."
GOV,,NPA,Meade,Desmond,Windermere,ORA,desmondmeade.com,@desmondmeade,,desmondmeade44,,medium,"Voting-rights advocate, MacArthur Fellow. IG bio confirms candidacy; not linked from site. No FB found."
GOV,,REP,Nokovich,Daniel,Pensacola,ESC,nokovichforgovernor.com,@nokovich4gov,facebook.com/profile.php?id=61589336152954,nokovichforgovernor,,high,"All handles linked from site. Also TikTok, YouTube."
GOV,,DEM,Norman,Stephann,Tampa,HIL,sn4flgovernor.org,@Stephann4Gov,,stephann4governor26,,high,"Linktree linked from site. No Facebook. Also TikTok."
GOV,,REP,Renner,Paul,St. Petersburg,FLA,voterenner.com,@Paul_Renner,facebook.com/RepPaulRenner,paulmrenner,,high,"Former FL House Speaker, out of office. Officeholder-era handles linked from campaign site."
GOV,,REP,Rodriguez,Rachel,West Palm Beach,PAL,rachelforgov.com,@rachelforgov,facebook.com/Rachelforgov,rachelforgov,,high,"Campaign phone on site (813-RRFL-GOV), not a government line."
GOV,,NPA,Russo,Frank,New Smyrna Beach,VOL,russo2026.com,,,,,medium,"Only cleanly verified social is TikTok @frankjohnrusso; IG link on site is broken. No X/FB."
GOV,,REP,Shaw,James,Vero Beach,OKE,votejim.us,,,,,medium,"Identity confirmed (Vero Beach organic farmer). JS-only site; no 2026 gov socials confirmable."
GOV,,REP,Succe,Caneste,Delray Beach,PAL,succeforflorida.com,,,,,medium,"Site confirmed; publishes phone/email only, no socials. Second domain succeforgovflorida.com exists."
GOV,,REP,Williams,Bobby,Eagle Lake,POL,bwflgov.com,,facebook.com/513890498482378,,,high,"Also TikTok, YouTube. Campaign phone 863-247-3257 on site (not government)."
ATG,,REP,Uthmeier,James,Tallahassee,LEO,jamesforfl.com,@jamesuthmeierfl,facebook.com/agjamesuthmeier,agjamesuthmeier,850-414-3300,high,"Incumbent AG. Site links campaign X; FB/IG are official AG-office accounts."
ATG,,DEM,Rodriguez,Jose,Tampa,DAD,jjr.vote,@JoseJavierJJR,,josejavierjjr,,medium,"Jose Javier Rodriguez, former FL state senator. Socials official but not linked from site. No FB confirmed."
CFO,,REP,Ingoglia,Blaise,Tampa,HER,blaiseforflorida.com,@govgonewild,facebook.com/blaiseforflorida,blaiseingoglia,"1-877-693-5236 (MY-FL-CFO); DFS 850-413-4900",high,"Incumbent CFO. X handle is his 'Government Gone Wild' brand, linked on site."
CFO,,DEM,Taddeo,Annette,Miami,DAD,annettetaddeo.com,@Annette_Taddeo,facebook.com/SenatorTaddeo,annette_taddeo,,high,"Correct site is annettetaddeo.com (double d). Hint annettetadeo.com is a misspelling."
CFO,,DEM,Ford,Earle,Lutz,HIL,earleforcfo.com,@earlefordfl,facebook.com/people/Earle-Ford-for-Florida-CFO/61582114524275/,earlefordfl,,high,"All socials linked from site."
CFO,,REP,Collige,Frank,Glen St. Mary,BAK,frankforchange.com,@DrCollige,facebook.com/p/Dr-Frank-Collige-for-Florida-CFO-61569942080716/,,,medium,"JS-only site; socials confirmed via search, not confirmed linked from site. No IG."
AGR,,REP,Simpson,Wilton,Tallahassee,PAS,wiltonsimpson.com,@WiltonSimpson,facebook.com/simpsonwilton,,"1-800-435-7352 (HELP-FLA); Cabinet Affairs 850-617-7700",high,"Incumbent Ag Commissioner. FB + X only, no IG."
AGR,,REP,Taylor,Matt,Plant City,HIL,,,,,,low,"Legally changed name to 'Matt The Welder' (Jan 2026); per FL SAVE Act reportedly will not appear on the Aug 18 2026 primary ballot. Verify status."
AGR,,DEM,Mendoza Atkins,Joey,Miami,DAD,joeyforflorida.com,@JoeyforFlorida,facebook.com/JoeyforFlorida,joeyforflorida,,high,"Site now Ag-branded (ATKINS FOR AG); leftover 2024 CD-26 content lower on page."
AGR,,DEM,Prichard,Donald,,,,,,,,low,"No campaign site or verified socials. mherron@lawfla.com hint is a law firm, not his."
